lr: 0.0000174 | Train loss: 0.17657843232154846 | Validation loss: 0.2627400755882263 | Validation accuracy: 63.87068588903452 | QWKappa: 0.8483879762179801 | QWKappa Karolinska: 0.8469720167604655 | QWKappa Radboud: 0.8158939048215768
lr: 0.0000158 | Train loss: 0.17029336094856262 | Validation loss: 0.2530982494354248 | Validation accuracy: 62.516382699868934 | QWKappa: 0.8518745800241136 | QWKappa Karolinska: 0.8511341834844665 | QWKappa Radboud: 0.8162676202582719
lr: 0.0000142 | Train loss: 0.16638992726802826 | Validation loss: 0.2580507695674896 | Validation accuracy: 61.64263870685889 | QWKappa: 0.8497127076252952 | QWKappa Karolinska: 0.8577164154085484 | QWKappa Radboud: 0.8078160959265529
lr: 0.0000126 | Train loss: 0.1651185154914856 | Validation loss: 0.26175132393836975 | Validation accuracy: 63.652249890781995 | QWKappa: 0.8517873452571819 | QWKappa Karolinska: 0.8539735060470224 | QWKappa Radboud: 0.8148106793406364
lr: 0.0000110 | Train loss: 0.15864861011505127 | Validation loss: 0.2593190371990204 | Validation accuracy: 62.82219309742245 | QWKappa: 0.8523135172732866 | QWKappa Karolinska: 0.858212549360813 | QWKappa Radboud: 0.8114967496404626
lr: 0.0000094 | Train loss: 0.15323090553283691 | Validation loss: 0.26911771297454834 | Validation accuracy: 62.516382699868934 | QWKappa: 0.8531212163248572 | QWKappa Karolinska: 0.8567511045462904 | QWKappa Radboud: 0.8152712592545293
lr: 0.0000080 | Train loss: 0.15373432636260986 | Validation loss: 0.26339617371559143 | Validation accuracy: 64.13280908693753 | QWKappa: 0.8531152975292485 | QWKappa Karolinska: 0.8631523448704389 | QWKappa Radboud: 0.8096848138557572
lr: 0.0000066 | Train loss: 0.15201713144779205 | Validation loss: 0.26179933547973633 | Validation accuracy: 64.13280908693753 | QWKappa: 0.8556443301893703 | QWKappa Karolinska: 0.857211350387693 | QWKappa Radboud: 0.8204486203403052
lr: 0.0000053 | Train loss: 0.14727967977523804 | Validation loss: 0.26245367527008057 | Validation accuracy: 63.433813892529486 | QWKappa: 0.8518992707062949 | QWKappa Karolinska: 0.857596688155104 | QWKappa Radboud: 0.8113999000449529
lr: 0.0000041 | Train loss: 0.14733335375785828 | Validation loss: 0.26074856519699097 | Validation accuracy: 64.00174748798602 | QWKappa: 0.8575823484485003 | QWKappa Karolinska: 0.8634119727272683 | QWKappa Radboud: 0.8196154591374641
